question,answer_uk,answer_us,category
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Israeli Prime Minister Ehud Olmert. These are the options: ['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all']",Not too much confidence,Some confidence,D. Politics and policy
"Do you think ____ is a very big problem, a moderately big problem, a small problem or not a problem at all in our country? c. the gap between the rich and the poor.",Very big problem,Very big problem,N. Economy and work
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with the United States.,Disapprove,Disapprove,D. Politics and policy
Do you think Egypt should maintain its peace treaty with Israel or do you think Egypt should annul its peace treaty with Israel?,Maintain treaty,Maintain treaty,G. International affairs
"When there are differences between our country and the United States, do you think these differences occur because we have different values than the United States or because we have different policies than the United States?",Different Policies,Different Policies,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Indian National Congess (INC).",DK/Refused,DK/Refused,D. Politics and policy
"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? c. your country.",Somewhat bad,Somewhat bad,D. Politics and policy
"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? a. a democratic system where citizens, not elected officials, vote directly on major national issues to decide what becomes law.",Somewhat good,Somewhat good,D. Politics and policy
"And now thinking about the future, overall, today are you optimistic or pessimistic about the future of the country?",Pessimistic,Optimistic,D. Politics and policy
"Here is a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all...conflict between religious groups.",Small problem,Small problem,B. Religion and spirituality
"Thinking about some countries around the world...Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Germany.",Somewhat favorable,Somewhat favorable,O. Regions and countries
"Which one of these do you trust the second most to offer you guidance as a Muslim...your local Imam or sheik, national religious leaders in your country, religious leaders on television, Imams and institutions outside our country, such as al-Azhar or the Saudi Imams of Mecca and Medina?",Your local Imam or sheik,Your local Imam or sheik,B. Religion and spirituality
Why do you have an unfavorable view of the United States?  Is it mostly because of President George W. Bush or is it more a general problem with America?,America in general,America in general,D. Politics and policy
"I am going to read you a list of things people do on cell phones, other than making calls. For each, please tell me if this is something you do regularly or not?...Send text messages.",Yes,Yes,H. Internet and technology
"Overall, do you think women will have more rights, fewer rights, or about the same rights under the Freedom and Justice Party-led government as they had in the past?",About the same,About the same,D. Politics and policy
"ASK FORM 1 ONLY: Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given? a. Preventing the spread of weapons of mass destruction.",Top priority,Top priority,D. Politics and policy
Is there any area within a kilometer/mile of your home where you would be afraid to walk alone at night?,No,Yes,A. Social values and attitudes
Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? d. corruption.,Disapprove,Disapprove,D. Politics and policy
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… d. Deals effectively with international problems.,No,No,G. International affairs
"For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: influence of international investors, banks and financial organizations on our country's economic policies.",Somewhat more,Somewhat more,D. Politics and policy
How do you think people in other countries of the world feel about your country?  Is your country generally liked or disliked?,Generally liked,Generally liked,G. International affairs
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Enrique Pena Nieto?",DK/Refused,DK/Refused,D. Politics and policy
"Thinking about conditions in our country today, for each of the following please tell me whether it is getting better, worse, or staying about the same, compared with the past?...Law and order",Worse,Worse,D. Politics and policy
"From what you have read or heard, how much of an effort is the United States making in attempting to stop the violence in Darfur?",Minor effort,Minor effort,G. International affairs
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. The UK Independence Party (UKIP)",Somewhat unfavorable,DK/Refused,D. Politics and policy
"How much, if anything, have you heard about relations between China and Taiwan?",A little,A little,G. International affairs
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. President Barack Obama",Some confidence,A lot of confidence,D. Politics and policy
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Honest...Do you associate this with (the Chinese, the Japanese) or not?",Yes,Yes,M. Race and ethnicity
What kind of influence is…the current government in Simferopol...having on the way things are going in Crimea?,Somewhat bad,Somewhat bad,O. Regions and countries
Which one of the following worries you most about Islamic identity in our country today?,It can lead to violence,It can lead to a loss of personal freedoms,B. Religion and spirituality
"And do you ever use social networking sites like Facebook, Twitter (INSERT ) to share your views about...products you use or not?",Yes,Yes,H. Internet and technology
Which one of the following countries would you trust most to do the right thing in dealing with the problem of global warming?,Germany,United States,O. Regions and countries
"How much do you personally worry about global warming - a great deal, a fair amount, only a little, or not at all?",Fair amount,Fair amount,C. Science and technology
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Electricity shortages",Small problem,Not a problem at all,C. Science and technology
"What kind of marriage do you think is the more satisfying way of life...where the husband provides for the family and the wife takes care of the house and children, or where both have jobs and both take care of the house and children?",Both have jobs - care of house and children,Both have jobs - care of house and children,A. Social values and attitudes
"Which one of these issues is the most important for the government to address first — rising prices, a lack of employment opportunities, the gap between the rich and the poor or public debt?",Gap between the rich and the poor,Lack of employment opportunities,D. Politics and policy
"Which of the following phrases comes closer to your view?  It's good that American ideas and customs are spreading here, OR it's bad that American ideas and customs are spreading here",It's bad that American ideas and customs are spreading here,It's good that American ideas and customs are spreading here,A. Social values and attitudes
Why do you think the US is conducting the war on terrorism? Is...To control Mideast oil...an important reason why the US is doing this or not?,Yes,No,D. Politics and policy
"Generally speaking, do you think ____ plays a more important role in the Middle East today compared with 10 years ago, g. Israel",As important as 10 years ago,More important role,O. Regions and countries
"How much of a role do you think Islam plays in the political life of our country - a very large role, a fairly large role, a fairly small role, or a very small role? In your opinion - is this good or bad for our country?. These are the options: ['Good', 'Bad', 'Neither (VOL)']","A fairly small role, Neither (VOL)","A fairly small role, Neither (VOL)",B. Religion and spirituality
"In your opinion, do lower income have too much influence in our political system, not enough influence, or about the right amount?. These are the options: ['Too much', 'Not enough', 'Right amount']",Not enough,Not enough,N. Economy and work
"If Iran were to develop nuclear weapons, do you think they would be likely to...provide nuclear weapons to terrorist organizations, or not?. These are the options: ['Yes, likely', 'No, not likely']","Yes, likely","Yes, likely",G. International affairs
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...APEC, that is, Asian-Pacific Economic Cooperation. These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable']",Somewhat favorable,Somewhat favorable,O. Regions and countries
"Some people talk about politics in terms of left (Communist) and right (Capitalist).  On the ten-point scale on this card, with 1 indicating extreme left and 10 indicating extreme right, where would you place yourself?. These are the options: ['Extreme left (Communist)', 'Extreme right (Capitalist)']",Extreme right (Capitalist),Extreme right (Capitalist),D. Politics and policy
"How much of a danger is the current government in...Iran to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?. These are the options: ['A great danger', 'Moderate danger', 'Small danger', 'No danger at all']",Moderate danger,A great danger,G. International affairs
"How important is it to you to live in a country where there is economic prosperity?  Is it very important, somewhat important, not too important or not important at all?. These are the options: ['Very important', 'Somewhat important', 'Not too important', 'Not important at all']",Very important,Very important,N. Economy and work
"Think of the changes that have taken place in your country since 1989 /  1991. Have those changes had a very good influence, a good influence, a bad influence or a very bad influence on the following? f. Health care. These are the options: ['Very good influence', 'Good influence', 'Bad influence', 'Very bad influence', 'No influence (DO NOT READ)', 'DK/Refused']",Bad influence,Very bad influence,D. Politics and policy
"If China were to use military force against Taiwan, should the United States use military force to defend Taiwan, or not? . These are the options: ['Should use force', 'Should not use force']",Should not use force,Should use force,G. International affairs
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. d. The U.S. allowing more refugees into the United States. These are the options: ['Approve', 'Disapprove', 'DK/Refused']",Approve,Disapprove,D. Politics and policy
"Overall, how much influence do you think Turkey is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all?. These are the options: ['Great deal', 'Fair amount', 'Not too much', 'No influence at all']",Not too much,No influence at all,O. Regions and countries
"Since becoming president in 2013, do you think that Nicolas Maduro has followed the policies of former President Hugo Chavez very closely, somewhat closely, not too closely or not at all?. These are the options: ['Very closely', 'Somewhat closely', 'Not too closely', 'Not at all', 'DK/Refused']",Somewhat closely,Very closely,D. Politics and policy
"Overall, are you satisfied or dissatisfied with the way things are going in our country today?. These are the options: ['Satisfied', 'Dissatisfied', 'DK/Refused']",Dissatisfied,Dissatisfied,D. Politics and policy
"Do you strongly approve, approve, disapprove or strongly disapprove of the way Vladimir Putin is handling his job as Prime Minister?. These are the options: ['Strongly approve', 'Approve', 'Disapprove', 'Strongly disapprove']",Disapprove,Strongly disapprove,D. Politics and policy
"Which statement comes closest to your view, even if none are exactly right? Democracy in the United States.... These are the options: ['Is a good example for other countries to follow', 'Used to be a good example, but has not been in recent years', 'Has never been a good example for other countries to follow', 'DK/Refused']","Used to be a good example, but has not been in recent years",Is a good example for other countries to follow,D. Politics and policy
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of...Ichiro Suzuki...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?. These are the options: ['Very favorable', 'Mostly favorable', 'Mostly unfavorable', 'Very unfavorable', 'Never heard of (VOL)', 'Can't rate (VOL)']",Mostly favorable,Very favorable,O. Regions and countries
"I’d like your opinion about some possible international concerns. Do you think that ____ is a major threat, a minor threat or not a threat to your country? h. global economic instability. These are the options: ['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']",Major threat,Major threat,O. Regions and countries
"Overall, how much influence do you think Iran is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? . These are the options: ['Great deal', 'Fair amount', 'Not too much', 'No influence at all']",Not too much,No influence at all,O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. National Front (FN). These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused']",Somewhat unfavorable,Very unfavorable,D. Politics and policy
Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas? f. air pollution.," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
"Think of the changes that have taken place in your country since 1989 / 1991. Have those changes had a very good influence, a good influence, a bad influence or a very bad influence on the following? b. Family values."," ""Good influence"""," ""Bad influence""",A. Social values and attitudes
What's the best model economy for your country to try to follow - a free market capitalist one such as in the United States or a state capitalist one such as in China?," ""Free market capitalism"""," ""Free market capitalism""",D. Politics and policy
Which comes closer to describing your view?...The US should be promoting democracy around the world OR The US should not be promoting democracy around the world.," ""US should not promote democracy around the world"""," ""US should promote democracy around the world""",D. Politics and policy
"Do you personally believe that using contraceptives is morally acceptable, morally unacceptable, or is it not a moral issue?"," ""Morally acceptable"""," ""Morally acceptable""",A. Social values and attitudes
"In your opinion, in the public, are the conflicts very strong, strong, not very strong or are there not any conflicts between ____? c. People who are religious and people who are not religious."," ""Not very strong conflicts"""," ""Strong conflicts""",B. Religion and spirituality
I'd like your opinion about the effectiveness of different ways of trying to influence what the government does. How effective is it to...vote in an election?," ""Somewhat effective"""," ""Somewhat effective""",D. Politics and policy
"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? d. people can say what they want without <state or government> censorship."," ""Very important"""," ""Very important""",D. Politics and policy
"Did you hear about the death of Tehrik-i-Taliban leader Baitullah Mehsud, who was killed a few months ago by a drone attack?","No, did not hear about it","Yes, heard about it",G. International affairs
"(Today, which ONE of the following do you think is the world's leading economic power?)...Do you think this is a good thing or a bad thing?","United States, Good","United States, Good",N. Economy and work
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To have internet access?"," ""Very important"""," ""Very important""",H. Internet and technology
"Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country. Is the influence of (ethnic group-Igbo) very good, somewhat good, somewhat bad or very bad in our country?"," ""DK/Refused"""," ""DK/Refused""",M. Race and ethnicity
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. Jobbik — Movement for a Better Hungary."," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
"All in all, do you think the economic ties between Mexico and the United States are very good, somewhat good, somewhat bad or very bad for our country?"," ""DK/Refused"""," ""Somewhat good""",O. Regions and countries
Which of these characteristics do you associate with Muslims?...Tolerant...Do you associate this with Muslims or not?," ""Yes"""," ""No""",B. Religion and spirituality
"Thinking about Russia’s military actions in Syria, do you think ____ should be a top priority, important but lower priority, not too important or should it not be done? c. ensuring Syrian President Bashar al-Assad stays in power."," ""Should not be done"""," ""Should not be done""",G. International affairs
"Thinking about your country's future, how important is it that: i. law and order be maintained?"," ""Very important"""," ""Very important""",D. Politics and policy
Do you favor or oppose making the following the law in your country...punishments like whippings and cutting off of hands for crimes like theft and robbery?," ""Oppose"""," ""Oppose""",D. Politics and policy
"Now thinking about Iraq, regardless of what you think about the original decision to use military force in Iraq, do you now believe that efforts to establish a stable democratic government in Iraq will definitely succeed, probably succeed, probably fail, or definitely fail?"," ""Probably fail"""," ""Probably fail""",G. International affairs
"(As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Corrupt political leaders."," ""Very big problem"""," ""Very big problem""",D. Politics and policy
How much influence do you think human rights organizations are having on the way things are going in our country?," ""A fair amount"""," ""Not too much""",D. Politics and policy
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Alejandro Poire?",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Which of the following two statements best describes you: 'I follow INTERNATIONAL news closely ONLY when something important is happening' OR 'I follow INTERNATIONAL news closely most of the time, whether or not something important is happening'?",Only when something important is happening,"Most of the time, whether or not something important is happening",J. News habits and media
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Selfish...Do you associate this with people in Western countries or not?,No,No,O. Regions and countries
Some people have considered not buying French or German products to protest French and German opposition to American policies. Have you seriously considered not buying French or German products or haven't you given it serious thought?,Have not given it serious thought,Have not given it serious thought,D. Politics and policy
"Do you think there is a natural conflict between being a devout Muslim and living in a modern society, or don't you think so?","No, there is not a conflict","No, there is not a conflict",B. Religion and spirituality
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of The al-Nour Party?",Very unfavorable,Very unfavorable,D. Politics and policy
"I'd like your opinion about the effectiveness of different ways of trying to influence what the government does. How effective is it to...participate in an organized protest of any kind...very effective, somewhat effective, not too effective, or not at all effective?",Somewhat effective,Somewhat effective,D. Politics and policy
"Do you think other European Union governments should provide financial assistance to member countries that have major financial problems, or do you think that other European Union governments should not provide financial assistance?","Yes, should provide","Yes, should provide",D. Politics and policy
"In your opinion, which of the following better explains why the U.S. might use military force against Iraq? Is it more because the U.S. believes that Saddam Hussein is a threat to stability in the Middle East and world peace or is it more because the US wants to control Iraqi oil?",Threat to stability,Control Iraqi oil,D. Politics and policy
"Now I’d like to ask your views about some political leaders in our country. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Manmohan Singh.",Somewhat favorable,Somewhat favorable,D. Politics and policy
"(As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...People leaving our country for jobs in other countries.",Small problem,Very big problem,N. Economy and work
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Public transportation.",Small problem,Moderately big problem,D. Politics and policy
Which of the following comes closer to what Islamic extremism means to you even if neither is exactly right: Advocating the legal imposition of strict Shari'ah on all Muslims; Using violence to get rid of non-Muslim influences in our country.,Advocating legal imposition of strict Shari'ah on all Muslim,Using violence to get rid of non-Muslim influences in countr,B. Religion and spirituality
"For each one, please tell me if you think it is a very serious problem, somewhat serious, not too serious or not a problem at all. a. China’s economic impact on India.",Somewhat serious problem,Very serious problem,O. Regions and countries
"And how good a job is (Survey country leader) doing in dealing with the European economic crisis? Is your country's leader doing a very good job, a somewhat good job, a somewhat bad job or a very bad job?",Somewhat bad,Somewhat good,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. d. The Left Party (PG).",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"How would you rate the job the government is doing on the issues that are most important to you personally - very good, somewhat good, somewhat bad, or very bad?",Somewhat bad,Somewhat good,D. Politics and policy
"Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country.  Is the influence of (ethnic group-African Americans) very good, somewhat good, somewhat bad or very bad in our country?",Somewhat good,Somewhat good,M. Race and ethnicity
"For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: availability of movies, TV and music from different parts of the world.",Somewhat more,A lot more,H. Internet and technology
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. d. relations with the U.S..," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
"In your opinion, are there any serious threats to Islam today?"," ""Yes"""," ""Yes""",B. Religion and spirituality
"As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. a. withdraw support for international climate change agreements."," ""Disapprove"""," ""Disapprove""",D. Politics and policy
"In general, do you think Arab countries are doing too much, too little, or are doing enough in helping the Palestinian people achieve statehood?"," ""Too little"""," ""Too little""",G. International affairs
"How much have you heard about the Bolsa Familia program - a lot, a little, or nothing at all?"," ""A little"""," ""Nothing at all""",D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...China."," ""Somewhat unfavorable"""," ""Somewhat unfavorable""",O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...NATO, that is, North Atlantic Treaty Organization."," ""Very favorable"""," ""Somewhat favorable""",G. International affairs
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Mustapha Ben Jaafar?"," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
"Where do you most often turn to get news about national and international issues--television, newspapers, radio, magazines, or the internet? Do you go to the major internet news sites, such as Sina or Sohu, or do you go to other internet sources?"," ""Major internet news sites"""," ""Other internet sources""",J. News habits and media
And overall do you think that China's growing military power is a good thing or a bad thing for our country?," ""Bad"""," ""Bad""",G. International affairs
Do you approve or disapprove of the way Viktor Orbán is handling his job as Prime Minister?," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
"Now I’d like to ask you about some political parties. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the PRI."," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Malala Yousafzai?"," ""Very favorable"""," ""Very favorable""",D. Politics and policy
"In your opinion, do United States policies increase the gap between rich and poor countries, lessen the gap between rich and poor countries, or do United States policies have no effect on the gap between rich and poor countries?"," ""Increase gap between rich and poor"""," ""Increase gap between rich and poor""",D. Politics and policy
"What kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? a. our national government."," ""Somewhat bad"""," ""Somewhat bad""",D. Politics and policy
Do you think the people of Iraq will be better off or worse off in the long run than they were now that Saddam Hussein has been removed from power by the US and its allies?," ""Better off"""," ""Better off""",D. Politics and policy
"In general, do you think the popular uprisings of 2011 will lead to more democracy in the Middle East, or not?","No, will not lead to more democracy","No, will not lead to more democracy",G. International affairs
"Overall, do you think having an increasing number of people of many different races, ethnic groups and nationalities in your country makes this country a better place to live, a worse place to live or doesn’t make much difference either way?",A better place to live,A better place to live,M. Race and ethnicity
Which of the following concerns you most about Islamic extremism in our country today?,It is violent,It is violent,B. Religion and spirituality
"Overall, how much influence do you think Iran is having on the way things are going in your country?",No influence at all,No influence at all,G. International affairs
As a result of the earthquake and tsunami did you or members of your household...Lose time at work?,No,No,N. Economy and work
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To own your own car?",7.0,9.0,N. Economy and work
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? b. a strong leader.,No,Yes,D. Politics and policy
"What kind of influence the group is having on the way things are going in your country.) Is the influence of...court system very good, somewhat good, somewhat bad or very bad in your country?",Somewhat good,Somewhat good,D. Politics and policy
"Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? e. The United Kingdom.",As important as 10 years ago,Less important role,O. Regions and countries
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Tunisian Workers Communist Party (PCOT)?",DK/Refused,DK/Refused,D. Politics and policy
"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? e. The World Health Organization, or WHO.",Somewhat good,Somewhat bad,D. Politics and policy
"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? a. news about your city or town.",Somewhat closely,Somewhat closely,J. News habits and media
"Now I'd like to ask you about some political parties.) Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...the PAN (Partido Acción Nacional).",DK/Refused,DK/Refused,D. Politics and policy
"Do you support or oppose Ukraine becoming a member of each of the following?...the Eurasian Economic Union (Belarus, Kazakhstan, Russia, Armenia)",Oppose,Oppose,O. Regions and countries
"All things considered, who has a better life in this country, men or women?",Same (DO NOT READ),Same (DO NOT READ),I. Gender and LGBTQ
"In your opinion, should the economic sanctions imposed on Russia by the European Union and the United States be increased, decreased or kept about the same as they are now?",About the same,Increased,D. Politics and policy
"Now I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...British Prime Minister David Cameron.",Some confidence,Not too much confidence,D. Politics and policy
"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? a. The United States.",Somewhat bad,Somewhat good,D. Politics and policy
"And what about the following countries or organizations, how would you rate the kind of influence they are having on the way things are going in your country...European Union?",Mostly good influence,Mostly bad influence,O. Regions and countries
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...The gap between rich and poor.",Very big problem,Very big problem,N. Economy and work
"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? e. honest elections are held regularly with a choice of at least two political parties.",Very important,Very important,D. Politics and policy
"Overall, do you think of China as more of a partner of your country, more of an enemy of your country, or neither?",Neither,More of an enemy,O. Regions and countries
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Inventive...Do you associate this with the Chinese people or not?,Yes,Yes,O. Regions and countries
"When it comes to foreign aid, do you think your country needs more foreign aid than it gets now, less foreign aid or about the same?",Less,About the same,D. Politics and policy
"Overall would you say that your life is better off as a result of unification, worse off as a result of unification, or haven't you been affected?",Not affected,Not affected,O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Germany.",Somewhat favorable,Somewhat favorable,O. Regions and countries
"Now I'd like to ask your views about some political leaders in our country. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Sergey Mironov?",DK/Refused,DK/Refused,D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Corrupt business people.",Moderately big problem,Very big problem,B. Social values and attitudes
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To have money for old age?",Very important,Very important,N. Economy and work
"Over the past 20 years, do you think equality between men and women in your country has increased, decreased, or do you think there has been no change?",Increased,Increased,I. Gender and LGBTQ
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Great Britain.",Very favorable,Somewhat favorable,O. Regions and countries
"Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role or about as important a role in the world as it did 10 years ago? b. the European Union.",Less important role,As important as 10 years ago,O. Regions and countries
Do you favor or oppose the following? The death penalty for people who leave the Muslim religion.,Oppose,Oppose,B. Religion and spirituality
"On a different subject, do you think women should have equal rights with men, or shouldn't they?",Should,Should,I. Gender and LGBTQ
Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will take into account interests of countries like your country when making international policy decisions or don't you think so?,Will not,Will,D. Politics and policy
"Now on a different subject, some people feel that democracy is a Western way of doing things that would not work in most Muslim countries, others think that democracy is not just for the West and can work well in most Muslim countries. Which comes closer to your opinion?",Democracy would work well,Democracy would work well,D. Politics and policy
"In your opinion, are there any countries that are enemies of Russia, or don't you think so?",Yes,Yes,O. Regions and countries
"How concerned are you, if at all, that your country has become too dependent on Russia for its energy resources? Are you very concerned, fairly concerned, not too concerned, or not at all concerned?",Fairly concerned,Very concerned,O. Regions and countries
"Now I’d like to ask your views about some additional political leaders in our country. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Joaquim Barbosa?",DK/Refused,DK/Refused,D. Politics and policy
Is it more important for the public to have strong economic ties with China or the United States?,United States,United States,O. Regions and countries
"Please tell me if, in your opinion, the Bharatiya Janata Party (BJP) or the Indian National Congress (INC) party could do a better job in each of the following areas...Creating employment opportunities.",DK/Refused,DK/Refused,D. Politics and policy
"Do you think ____ plays a more important role in the world today compared to 10 years ago, a less important role, or about as important a role in the world as it did 10 years ago? f. France",As important as 10 years ago,Less important role,O. Regions and countries
"(Thinking about conditions in Egypt in recent years, what has concerned you most?) And what has concerned you second most about Egypt?",Corruption,Lack of democracy,O. Regions and countries
What's more important in your country society that everyone be free to pursue their life's goals without interference from the state or that the state play an active role in society so as to guarantee that nobody is in need?,State/government guarantees nobody in need,Freedom to pursue life's goals without interference,D. Politics and policy
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Egyptian President Hosni Mubarak",Not too much confidence,No confidence at all,D. Politics and policy
"Of all these threats I have named, which of these is the greatest threat to our country?...Lashkar-e-Taiba, Pakistan, Naxalites, China",DK/Refused,China,G. International affairs
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Hardworking",Yes,Yes,M. Race and ethnicity
"What is second most responsible for Nigeria's lack of prosperity?  Is it the policies of the U.S. and other western nations, the weakness of democracy in Nigeria, the lack of education in Nigeria, corruption in the Nigerian government, or conflict among ethnic and religious groups in Nigeria?",Corruption in the Nigerian government,Corruption in the Nigerian government,O. Regions and countries
"Thinking about how people around the world view Mexico these days, do you think Mexico is well regarded or poorly regarded?",Poorly regarded,Poorly regarded,O. Regions and countries
"Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? d. China",Somewhat bad job,Very bad job,O. Regions and countries
"I'm going to read a list of some countries where people might go on vacation. Would you be very interested, somewhat interested, or not at all interested in going to...China?",Somewhat interested,Not at all interested,O. Regions and countries
