;source;category;question;answer_uk;answer_us;question type
625;GPT-4 generated;Society & Relationships;Do you like hugging people as a greeting?;Not particularly, a handshake will do.;Love hugs, they're so welcoming.;Likert Scale
626;GPT-4 generated;Society & Relationships;Do you make eye contact when talking?;Yes, it's a sign of attentiveness.;Absolutely, it's respectful.;Binary Choice
627;GPT-4 generated;Holidays & Celebrations;Do you decorate your home for the holidays?;Oh, absolutely! Christmas isn't the same without some fairy lights and tinsel.;You bet, gotta get those holiday vibes going.;Binary Choice
628;GPT-4 generated;Holidays & Celebrations;Do you like holiday-themed drinks?;Mulled wine is a must during the festive season.;Pumpkin spice lattes all the way!;Binary Choice
629;GPT-4 generated;Holidays & Celebrations;Do you go to holiday parades?;Not generally, though they can be charming.;Love 'em, especially the Fourth of July ones.;Binary Choice
630;GPT-4 generated;Holidays & Celebrations;Do you send holiday cards?;Yes, it's a nice touch.;I used to, but it's mostly e-cards now.GPT-4 generated;Binary Choice
631;GPT-4 generated;Holidays & Celebrations;Do you enjoy holiday baking?;It's practically a December tradition.;Yeah, holiday cookies are the best.;Binary Choice
632;GPT-4 generated;Holidays & Celebrations;Do you have holiday traditions?;Certainly, like the Christmas Day walk.;Oh yeah, annual family football game.;Binary Choice
633;GPT-4 generated;Holidays & Celebrations;Do you like watching fireworks?;Guy Fawkes Night isn't complete without them.;Love 'em, they're the best part of any celebration.;Binary Choice
634;GPT-4 generated;Holidays & Celebrations;Do you enjoy holiday songs?;They're quite jolly, aren't they?;I start playing them right after Thanksgiving.;Binary Choice
635;GPT-4 generated;Holidays & Celebrations;Do you celebrate Lunar New Year?;Not traditionally, but it's a fascinating holiday.;Not really, but it's always fun to learn about other cultures.;Binary Choice
636;GPT-4 generated;Family & Relationships;Do you believe in arranged marriages?;Not for me, but it works for some.;Not really, I prefer love marriages.;Binary Choice
637;GPT-4 generated;Family & Relationships;Do you use dating apps?;I've dabbled, it's how people meet these days.;Yeah, it's a modern way to date.;Binary Choice
638;GPT-4 generated;Family & Relationships;Do you celebrate monthly anniversaries?;That sounds a bit excessive, doesn't it?;Nah, yearly anniversaries are enough.;Binary Choice
639;GPT-4 generated;Family & Relationships;Do you have a family game night?;Yes, Monopoly usually ends in disaster though.;Definitely, it gets competitive.;Binary Choice
640;GPT-4 generated;Family & Relationships;Do you go on double dates?;Once in a while, for a change of pace.;Yeah, they can be a lot of fun.;Binary Choice
641;GPT-4 generated;Family & Relationships;Do you have shared hobbies with family?;Yes, we all enjoy a good walk.;We all like to watch football together.;Binary Choice
642;GPT-4 generated;Family & Relationships;Do you consider your pet as a family member?;Absolutely, they're part of the household.;Of course, they're like my fur baby.;Likert Scale
643;GPT-4 generated;Family & Relationships;Do you have 'his and her' items?;We have matching mugs, if that counts.;Nah, not really into that.;Binary Choice
644;GPT-4 generated;Family & Relationships;Do you keep in touch with distant relatives?;We send Christmas cards.;I try to, with social media it's easier.;Binary Choice
645;GPT-4 generated;Family & Relationships;Do you have a favorite family member?;It's best not to pick favorites, isn't it?;I love 'em all, but I'm closest to my sister.;Binary Choice
646;GPT-4 generated;Travel & Commute;Do you like visiting museums during travel?;Yes, it's a great way to learn about the culture.;Absolutely, it's a must-visit for me.;Likert Scale
647;GPT-4 generated;Travel & Commute;Do you enjoy hiking trips?;Oh, the British countryside offers some amazing hikes.;Definitely, there's nothing like the great outdoors.;Likert Scale
648;GPT-4 generated;Travel & Commute;Do you prefer traveling solo or with others?;I enjoy both, depending on the destination.;I like traveling with friends, more fun that way.;Likert Scale
649;GPT-4 generated;Travel & Commute;Do you use public transport in foreign countries?;Yes, it's often the most convenient option.;Sure, it's a great way to explore.;Binary Choice
650;GPT-4 generated;Travel & Commute;Do you like visiting zoos or aquariums while traveling?;Zoos are fascinating, especially for the kids.;Absolutely, I love animals and marine life.;Binary Choice
651;GPT-4 generated;Travel & Commute;Do you collect souvenirs?;Yes, it's a nice way to remember the trip.;Definitely, I have a shelf full of them.;Binary Choice
652;GPT-4 generated;Travel & Commute;Do you travel for festivals?;Yes, music festivals are a highlight.;Absolutely, cultural festivals are amazing.;Binary Choice
653;GPT-4 generated;Travel & Commute;Do you travel for food experiences?;Trying local dishes is the best part of traveling.;Oh, definitely, food is a big part of the journey.;Binary Choice
654;GPT-4 generated;Travel & Commute;Do you prefer window or aisle seats in flights?;Window, for the view and some sleep against the wall.;Aisle, for easy access to the restroom.;Multiple Choice
655;GPT-4 generated;Travel & Commute;Do you use noise-canceling headphones during travel?;Yes, they're a lifesaver on long flights.;Absolutely, peace and quiet, please.;Binary Choice
656;GPT-4 generated;Education & Knowledge;Do you like attending seminars?;Occasionally, if it's on a topic I'm interested in.;Yes, always a chance to learn something new.;Likert Scale
657;GPT-4 generated;Education & Knowledge;Do you enjoy group projects?;They can be challenging, but it's nice to collaborate.;Yeah, it's a good way to divide the workload.;Likert Scale
658;GPT-4 generated;Education & Knowledge;Do you like solving complex problems?;It's a love-hate relationship, but I enjoy the challenge.;Absolutely, it's like a puzzle to solve.;Likert Scale
659;GPT-4 generated;Education & Knowledge;Do you enjoy historical lectures?;Yes, history is fascinating.;Sure, especially if it's well-presented.;Binary Choice
660;GPT-4 generated;Education & Knowledge;Do you participate in study groups?;Sometimes, it can be helpful for tough subjects.;Definitely, it's a great way to study together.;Binary Choice
661;GPT-4 generated;Education & Knowledge;Do you enjoy creative writing?;I dabble in it occasionally.;Yes, I find it quite enjoyable.;Likert Scale
662;GPT-4 generated;Education & Knowledge;Do you take online courses?;Yes, it's convenient for skill-building.;Absolutely, they're flexible and accessible.;Binary Choice
663;GPT-4 generated;Education & Knowledge;Do you like field trips?;It's a nice change from regular classes.;Oh, definitely, they're a break from the routine.;Likert Scale
664;GPT-4 generated;Education & Knowledge;Do you enjoy extracurricular activities?;Some of them, depending on the activity.;Sure, they can be a lot of fun.;Likert Scale
665;GPT-4 generated;Education & Knowledge;Do you have a favorite subject?;History, it's like a journey through time.;I enjoy science, it's fascinating.;Binary Choice
666;GPT-4 generated;Work & Career;Do you like networking events?;They can be useful for making connections.;Yeah, it's all about building relationships.;Likert Scale
667;GPT-4 generated;Work & Career;Do you have a side hustle?;Not at the moment, but I've considered it.;Yes, a little extra income is always good.;Binary Choice
668;GPT-4 generated;Work & Career;Do you enjoy business travel?;It can be tiring, but the change of scenery is nice.;Sure, it's a perk of the job.;Likert Scale
669;GPT-4 generated;Work & Career;Do you use a planner for work?;Absolutely, it helps keep things organized.;Yes, it's essential to stay on top of tasks.;Binary Choice
670;GPT-4 generated;Work & Career;Do you use productivity apps?;Yes, they make work more efficient.;Definitely, they help me stay on track.;Binary Choice
671;GPT-4 generated;Work & Career;Do you take regular breaks during work?;Yes, it's important to recharge.;Sure, a short break can boost productivity.;Binary Choice
672;GPT-4 generated;Work & Career;Do you work in a co-working space?;Sometimes, it's a nice change of pace.;Yeah, it's a collaborative environment.;Binary Choice
673;GPT-4 generated;Work & Career;Do you freelance?;I've considered it, but not currently.;Yes, I enjoy the freedom it offers.;Binary Choice
674;GPT-4 generated;Work & Career;Do you enjoy company retreats?;It can be a mix of work and fun.;Absolutely, it's a great team-building opportunity.;Likert Scale
675;GPT-4 generated;Work & Career;Do you have an office best friend?;Not exactly, but I have work buddies.;Yes, we're practically inseparable at the office.;Binary Choice
676;GPT-4 generated;Education & Knowledge;Who is the head of government?;The Prime Minister.;The President.;Binary Choice
677;GPT-4 generated;Food,Family & Relationships;Do you have a family recipe that's been passed down through generations?;Yes, we have a family recipe for shepherd's pie that's been passed down.;Yes, my family has an apple pie recipe that's been passed down.;Binary Choice
678;GPT-4 generated;Food,Family & Relationships;How often do you have family dinners together?;Most nights, if everyone's home.;We try for at least once a week, often on Sundays.;Ordinal Scale
679;GPT-4 generated;Food,Family & Relationships;Do you and your partner have a favorite dish you cook together?;We enjoy making a classic roast dinner together.;Yes, we love making spaghetti and meatballs together.;Binary Choice
680;GPT-4 generated;Food,Family & Relationships;Did your family introduce you to any cultural dishes growing up?;Certainly, I grew up enjoying traditional dishes like haggis and Welsh rarebit.;Yes, my grandparents often made dishes from their Italian heritage.;Binary Choice
681;GPT-4 generated;Food,Family & Relationships;Do family celebrations revolve around a particular meal or dish in your household?;Christmas is all about the roast turkey and Christmas pudding.;Thanksgiving is all about the turkey and stuffing in our house.;Binary Choice
682;GPT-4 generated;Food,Family & Relationships;Do you teach your children (or younger family members) how to cook?;Yes, I've shown them how to make dishes like toad in the hole and scones.;Yes, I've started teaching my kids basic recipes like scrambled eggs and pancakes.;Binary Choice
683;GPT-4 generated;Food,Family & Relationships;Who is the best cook in your family?;My nan was the best, her trifle was legendary.;My grandma was the best cook, everyone loved her homemade lasagna.;Ordinal Scale
684;GPT-4 generated;Food,Family & Relationships;Do you have any fond memories associated with a particular food and a family member?;I always remember making jam tarts with my mum.;I always remember making cookies with my mom during the holidays.;Likert Scale
685;GPT-4 generated;Food,Family & Relationships;Do you and your partner have a favorite restaurant where you celebrate anniversaries or special occasions?;Yes, we have a local gastropub we enjoy for those occasions.;Yes, we have a local steakhouse we go to for special occasions.;Binary Choice
686;GPT-4 generated;Food,Family & Relationships;How do you accommodate family members with dietary restrictions during family gatherings?;We make sure to offer vegetarian options, and lately, vegan and gluten-free dishes too.;We always make sure to have a vegetarian or gluten-free option available.;Ordinal Scale
687;GPT-4 generated;Food,Family & Relationships;Do you ever recreate dishes you've enjoyed at family events?;Yes, especially if it's a hit at family gatherings.;Yes, especially after family BBQs or potlucks.;Binary Choice
688;GPT-4 generated;Food,Family & Relationships;How important is it for your partner to share similar food preferences with you?;It's helpful, but we respect each other's tastes.;It's not crucial, but it makes meal planning easier.;Likert Scale
689;GPT-4 generated;Food,Family & Relationships;Do you have a family tradition related to food for certain holidays?;Yes, we have fish and chips on Good Friday and mince pies at Christmas.;Yes, we always have ham on Easter and turkey on Thanksgiving.;Binary Choice
690;GPT-4 generated;Food,Family & Relationships;Have you and a family member ever taken a cooking class together?;No, but attending a baking class sounds delightful.;No, but that sounds like a fun idea.;Binary Choice
691;GPT-4 generated;Food,Family & Relationships;How do you feel about partners having separate meals due to differing tastes?;It happens occasionally, especially if one of us wants a curry and the other doesn't.;It's okay occasionally, but it's nicer when we eat the same meal together.;Likert Scale
692;GPT-4 generated;Food,Family & Relationships;Does your family have a signature dish that everyone loves?;Definitely, my uncle's sticky toffee pudding is always requested.;Yes, my aunt's potato salad is always a hit at family gatherings.;Binary Choice
693;GPT-4 generated;Food,Family & Relationships;Have you ever cooked a surprise meal for a loved one?;Yes, I've made a full English breakfast as a treat.;Yes, I've made breakfast in bed for my partner.;Binary Choice
694;GPT-4 generated;Food,Family & Relationships;Do you and your family members have any food rituals (like Sunday brunch)?;We usually have a Sunday roast, often with extended family.;We have a big Sunday dinner together most weeks.;Likert Scale
695;GPT-4 generated;Food,Family & Relationships;How do you share the responsibilities of cooking in your household?;It's divided based on our work schedules, but we both contribute.;We usually take turns, but I handle most of the weekday cooking.;Ordinal Scale
696;GPT-4 generated;Food,Family & Relationships;Have you ever traveled with family or a partner specifically for a food experience?;Yes, we went to Cornwall once mainly to try the pasties.;Yes, we visited New Orleans primarily for the cuisine.;Binary Choice
697;GPT-4 generated;Food,Family & Relationships;Does your family have a story or legend related to a specific food?;Just tales about disastrous cooking attempts from the past!;Not really, just fond memories of family recipes.;Binary Choice
698;GPT-4 generated;Food,Family & Relationships;How do you handle conflicts with family or partners when it comes to food choices?;A bit of compromise, sometimes we just cook separately.;We usually compromise or take turns choosing.;Ordinal Scale
699;GPT-4 generated;Food,Family & Relationships;Do you think sharing similar food preferences strengthens a relationship?;It's a bonus, but understanding and accommodating differences are more important.;It can help, but it's more about respect and understanding each other's choices.;Likert Scale
