;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type
61;Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...German Chancellor Gerhard Schroeder;'United States': [0.03614457831325301, 0.37349397590361444, 0.3373493975903614, 0.25301204819277107], 'Britain': [0.07954545454545454, 0.4431818181818182, 0.3068181818181818, 0.17045454545454544];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];GAS;0.3734939759036144;0.4431818181818182;1;1;Some confidence;Some confidence;D. Politics and policy;4;Likert Scale
62;Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? c. news about other countries;'United States': [0.17, 0.51, 0.23, 0.09, 0.0], 'Britain': [0.19, 0.54, 0.2, 0.07, 0.0];['Very closely', 'Somewhat closely', 'Not very closely', 'Not at all closely', 'DK/Refused'];GAS;0.51;0.54;1;1;Somewhat closely;Somewhat closely;J. News habits and media;5;Likert Scale
63;Which of these characteristics do you associate with Americans? Do you associate honest with Americans  or not?;'United States': [0.65625, 0.34375], 'Britain': [0.6263736263736264, 0.37362637362637363];['Yes', 'No'];GAS;0.65625;0.6263736263736264;0;0;Yes;Yes;A. Social values and attitudes;2;Binary Choice
64;What is SECOND most responsible for Muslim nations' lack of prosperity? Is it the policies of the U.S. and other western nations, the lack of democracy in the Muslim world, the lack of education in the Muslim world, Islamic fundamentalism, or corruption in the government of Muslim nations?;'United States': [0.08163265306122448, 0.2653061224489796, 0.1836734693877551, 0.17346938775510204, 0.2653061224489796, 0.030612244897959183], 'Britain': [0.08333333333333333, 0.25, 0.21875, 0.19791666666666666, 0.23958333333333334, 0.010416666666666666];['The policies of the U.S. and other western nations', 'Lack of democracy', 'Lack of education', 'Islamic fundamentalism', 'Corruption in the governments of Muslim nations', 'Other (VOL)'];GAS;0.2653061224489796;0.25;1;1;Lack of democracy;Lack of democracy;D. Politics and policy;6;Multiple Choice
65;Which of these characteristics do you associate with Muslims?...Generous...Do you associate this with Muslims or not?;'United States': [0.39759036144578314, 0.6024096385542169], 'Britain': [0.5584415584415584, 0.44155844155844154];['Yes', 'No'];GAS;0.6024096385542169;0.5584415584415584;1;0;No;Yes;L. Family and relationships;2;Binary Choice
66;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? c. women have the same rights as men;'United States': [0.9191919191919192, 0.0707070707070707, 0.0, 0.010101010101010102, 0.0], 'Britain': [0.92, 0.05, 0.01, 0.02, 0.0];['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];GAS;0.9191919191919192;0.92;0;0;Very important;Very important;I. Gender and LGBTQ;5;Likert Scale
67;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...It is the responsibility of the state to take care of very poor people who can't take care of themselves.;'United States': [0.2857142857142857, 0.42857142857142855, 0.17346938775510204, 0.11224489795918367], 'Britain': [0.5353535353535354, 0.3838383838383838, 0.050505050505050504, 0.030303030303030304];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.4285714285714285;0.5353535353535354;1;0;Mostly agree;Completely agree;D. Politics and policy;4;Likert Scale
68;For each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it. The (state/government) should take steps to protect your country economically, even if other friendly nations object to it.;'United States': [0.4639175257731959, 0.3917525773195876, 0.10309278350515463, 0.041237113402061855], 'Britain': [0.4742268041237113, 0.3711340206185567, 0.12371134020618557, 0.030927835051546393];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.4639175257731959;0.4742268041237113;0;0;Completely agree;Completely agree;D. Politics and policy;4;Likert Scale
69;Is your overall opinion of Pope Francis very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable?;'United States': [0.3958333333333333, 0.4166666666666667, 0.07291666666666667, 0.041666666666666664, 0.020833333333333332, 0.052083333333333336], 'Britain': [0.2247191011235955, 0.5056179775280899, 0.11235955056179775, 0.07865168539325842, 0.02247191011235955, 0.056179775280898875];"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of (VOL)', ""Can't rate (VOL)""]";GAS;0.4166666666666667;0.5056179775280899;1;1;Somewhat favorable;Somewhat favorable;B. Religion and spirituality;6;Likert Scale
70;Do you personally believe that homosexuality is morally acceptable, morally unacceptable, or is it not a moral issue? ;'United States': [0.23958333333333334, 0.3854166666666667, 0.3645833333333333, 0.010416666666666666], 'Britain': [0.3673469387755102, 0.17346938775510204, 0.4387755102040816, 0.02040816326530612];['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];GAS;0.3854166666666667;0.4387755102040816;1;2;Morally unacceptable;Not a moral issue;I. Gender and LGBTQ;4;Likert Scale
71;Who do you think is mostly to blame for this (that relations between Muslims and people in Western countries are generally bad), Muslims or people in Western countries?;'United States': [0.45977011494252873, 0.3333333333333333, 0.0, 0.13793103448275862, 0.06896551724137931], 'Britain': [0.37777777777777777, 0.28888888888888886, 0.0, 0.26666666666666666, 0.06666666666666667];['Muslims', 'People in Western countries/Christians', 'Jews (VOL)', 'Both (VOL)', 'Neither (VOL)'];GAS;0.4597701149425287;0.3777777777777777;0;0;Muslims;Muslims;B. Religion and spirituality;5;Multiple Choice
72;And over the next 12 months do you expect your personal economic situation to improve a lot, improve a little, remain the same, worsen a little or worsen a lot?;'United States': [0.15, 0.28, 0.44, 0.1, 0.03, 0.0], 'Britain': [0.05154639175257732, 0.1958762886597938, 0.5051546391752577, 0.1958762886597938, 0.05154639175257732, 0.0];['Improve a lot', 'Improve a little', 'Remain the same', 'Worsen a little', 'Worsen a lot', 'DK/Refused'];GAS;0.44;0.5051546391752577;2;2;Remain the same;Remain the same;N. Economy and work;6;Likert Scale
73;Which of the following phrases comes closer to your point of view?...The U.S. is right to be so concerned about the threat of international terrorism OR the U.S. is over reacting to the threat of international terrorism?;'United States': [0.865979381443299, 0.13402061855670103], 'Britain': [0.6597938144329897, 0.3402061855670103];['The US is right to be so concerned about the threat', 'The US is over reacting to the threat'];GAS;0.865979381443299;0.6597938144329897;0;0;The US is right to be so concerned about the threat;The US is right to be so concerned about the threat;D. Politics and policy;2;Likert Scale
74;When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? a. Healthcare system;'United States': [0.06930693069306931, 0.2376237623762376, 0.297029702970297, 0.31683168316831684, 0.06930693069306931, 0.009900990099009901], 'Britain': [0.0297029702970297, 0.10891089108910891, 0.16831683168316833, 0.45544554455445546, 0.18811881188118812, 0.04950495049504951];['The best', 'Above average', 'Average', 'Below average', 'The worst', 'DK/Refused'];GAS;0.3168316831683168;0.4554455445544554;3;3;Below average;Below average;D. Politics and policy;6;Likert Scale
75;How much do you worry about the possibility of Islamic terrorism in the United States these days? Are you very worried, somewhat worried, not too worried or not worried at all?;'United States': [0.22, 0.45, 0.22, 0.11], 'Britain': [0.16, 0.4, 0.31, 0.13];['Very worried', 'Somewhat worried', 'Not too worried', 'Not worried at all'];GAS;0.45;0.4;1;1;Somewhat worried;Somewhat worried;Q. Security;4;Likert Scale
76;Do you use a computer at your workplace, at school, at home, or anywhere else on at least an occasional basis?;'United States': [0.81, 0.19], 'Britain': [0.81, 0.19];['Yes', 'No'];GAS;0.81;0.81;0;0;Yes;Yes;H. Internet and technology;2;Binary Choice
77;Which of the following two statements about addressing global climate change comes closer to your own views, even if neither is exactly right?;'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.0, 0.350253807106599, 0.15228426395939088, 0.0, 0.0];"[""Rich countries, such as the   U.S., Japan and Germany, should do more than developing countries because they have produced most of the world's greenhouse gas emissions so far"", 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', ""Developing countries should do just as much as rich countries because they will produce most of the world's greenhouse gas emissions in the future"", 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'Climate change does not exist (Vol.)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree', 'The U.S. should try to promote human rights in China, even if it harms economic relations with China', 'The U.S. should prioritize strengthening economic relations with China, even if it means not addressing human rights issues']";GAS;0.54;0.350253807106599;2;8;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;12;Likert Scale
78;How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? c. women have the same rights as men;'United States': [0.9191919191919192, 0.0707070707070707, 0.010101010101010102, 0.0, 0.0], 'Britain': [0.92, 0.06, 0.01, 0.0, 0.01];['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];GAS;0.9191919191919192;0.92;0;0;Very important;Very important;I. Gender and LGBTQ;5;Likert Scale
79;Has each of the following gotten better or worse over the last five years in our country: the availability of modern medicines and treatments.;'United States': [0.7731958762886598, 0.17525773195876287, 0.05154639175257732], 'Britain': [0.7916666666666666, 0.17708333333333334, 0.03125];['Better', 'Worse', 'Has not changed'];GAS;0.7731958762886598;0.7916666666666666;0;0;Better;Better;C. Science and technology;3;Likert Scale
